defined_class,defined_class_label,attribute,attribute label,entity,entity label,location,location label
ENVO:09000001,,PATO:0001536,solubility,CHEBI:27594,carbon atom,ENVO:00010483,environmental material
ENVO:09000002,,PATO:0001536,solubility,CHEBI:27594,carbon atom,ENVO:00001998,soil
ENVO:09000003,,PATO:0001536,solubility,CHEBI:27594,carbon atom,ENVO:00002006,water
ENVO:09000004,,PATO:0000070,amount,CHEBI:27594,carbon atom,ENVO:00010483,environmental material
ENVO:09000005,,PATO:0000070,amount,CHEBI:27594,carbon atom,ENVO:00001998,soil
ENVO:09000006,,PATO:0000070,amount,CHEBI:27594,carbon atom,ENVO:00002006,water
ENVO:09000007,,PATO:0000033,concentration,CHEBI:27594,carbon atom,ENVO:00010483,environmental material
ENVO:09000008,,PATO:0000033,concentration,CHEBI:27594,carbon atom,ENVO:00001998,soil
ENVO:09000009,,PATO:0000033,concentration,CHEBI:27594,carbon atom,ENVO:00002006,water
ENVO:09000010,,PATO:0001536,solubility,CHEBI:25555,nitrogen atom,ENVO:00010483,environmental material
ENVO:09000011,,PATO:0001536,solubility,CHEBI:25555,nitrogen atom,ENVO:00001998,soil
ENVO:09000012,,PATO:0001536,solubility,CHEBI:25555,nitrogen atom,ENVO:00002006,water
ENVO:09000013,,PATO:0000070,amount,CHEBI:25555,nitrogen atom,ENVO:00010483,environmental material
ENVO:09000014,,PATO:0000070,amount,CHEBI:25555,nitrogen atom,ENVO:00001998,soil
ENVO:09000015,,PATO:0000070,amount,CHEBI:25555,nitrogen atom,ENVO:00002006,water
ENVO:09000016,,PATO:0000033,concentration,CHEBI:25555,nitrogen atom,ENVO:00010483,environmental material
ENVO:09000017,,PATO:0000033,concentration,CHEBI:25555,nitrogen atom,ENVO:00001998,soil
ENVO:09000018,,PATO:0000033,concentration,CHEBI:25555,nitrogen atom,ENVO:00002006,water
ENVO:09200006,,PATO:0000033,concentration,CHEBI:28938,ammonium,ENVO:00001998,soil
ENVO:09200007,,PATO:0000033,concentration,CHEBI:17632,nitrate,ENVO:00001998,soil
ENVO:09000019,,PATO:0000033,concentration,CHEBI:17996,chloride,ENVO:00002006,water
ENVO:09200020,,PATO:0000033,concentration,CHEBI:17632,nitrate,ENVO:01001004,groundwater
ENVO:09200021,,PATO:0000033,concentration,CHEBI:15379,oxygen,ENVO:00002006,water
