ID	label	definition
ENVO:00000000	geographic feature	
ENVO:00000027	spring	A point where groundwater or steam flows out of the ground, and is thus where the aquifer surface meets the ground surface or where there is a fissure.
ENVO:00000051	hot spring	A spring that is produced by the emergence of geothermally-heated groundwater from the Earth's crust.
ENVO:00000144	obsolete aquatic habitat	A habitat that is in or on water.
ENVO:00000215	hydrothermal vent	A fissure in the Earths's surface from which geothermally heated water issues.
ENVO:00000569	obsolete marine habitat	A habitat that is in or on a sea or ocean containing high concentrations of dissolved salts and other total dissolved solids (typically >35 grams dissolved salts per litre).
ENVO:00001995	rock	A rock is a naturally occurring solid aggregate of one or more minerals or mineraloids.
ENVO:00001998	soil	Soil is an environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms.
ENVO:00002001	waste water	Water that has been adversely affected in quality by anthropogenic influence.
ENVO:00002002	obsolete food product	
ENVO:00002005	air	The mixture of gases (roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth.
ENVO:00002006	liquid water	An environmental material primarily composed of dihydrogen oxide in its liquid form.
ENVO:00002007	sediment	Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid.
ENVO:00002009	obsolete terrestrial habitat	A habitat that is on or at the boundary of the surface of the Earth.
ENVO:00002020	obsolete extreme habitat	A habitat having at least one environmental quality that tends towards either the largest or smallest element of the set. The physical or geochemical extreme conditions found in an extreme habitat are often detrimental to the majority of life on Earth.
ENVO:00002032	obsolete organism-associated habitat	A habitat that is in or on a living thing.
ENVO:00002034	biofilm	A complex aggregation of microorganisms marked by the excretion of a protective and adhesive matrix; usually adhering to a substratum.
ENVO:00002037	obsolete freshwater habitat	A habitat that is in or on a body of water containing low concentrations of dissolved salts and other total dissolved solids (<0.5 grams dissolved salts per litre).
ENVO:00002044	sludge	The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes.
ENVO:00002164	fossil material	A solid environmental material which is formed by the replacement of organic substances (including those in soils and sediments) with mineral material.
ENVO:00002982	clay	A group of hydrous aluminium phyllosilicate (phyllosilicates being a subgroup of silicate minerals) minerals (see clay minerals), that are typically less than 2 micrometres in diameter. Clay consists of a variety of phyllosilicate minerals rich in silicon and aluminium oxides and hydroxides which include variable amounts of structural water.
ENVO:00006776	obsolete animal-associated habitat	"A habitat that is in or on a living animal. Here ""animal"" denotes an individual of a species that is a sub-taxon of NCBITaxon:33208."
ENVO:00009001	obsolete plant-associated habitat	"A habitat that is in or on a living plant. Here ""plant"" denotes an individual of a species that is a sub-taxon of NCBITaxon:33090 (viridiplantae)."
ENVO:00010483	environmental material	A portion of environmental material is a fiat object part which forms the medium or part of the medium of an environmental system.
ENVO:00010504	surface layer	A layer of some material entity which is adjacent to one or more of its external boundaries and directly interacts with its immediate surroundings.
ENVO:0010001	anthropogenic environmental material	Anthropogenic material in or on which organisms may live.
ENVO:01000008	microbial mat	A multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats grow at interfaces between different types of material, mostly on submerged or moist surfaces but a few survive in deserts.
ENVO:01000016	silt	Silt is granular material of a size somewhere between sand and clay whose mineral origin is quartz and feldspar.
ENVO:01000017	sand	A naturally occurring granular material composed of finely divided rock and mineral particles.
ENVO:01000155	organic material	Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.
ENVO:01000254	environmental system	A system which has the disposition to environ one or more material entities.
ENVO:01000256	mineral material	A mineral material is an environmental material which is primarily composed of some substance that is naturally occurring, solid and stable at room temperature, representable by a chemical formula, usually abiogenic, and that has an ordered atomic structure.
ENVO:01000266	water vapour	Water vapour is a vapour which is the gas phase of water.
ENVO:01000267	atmosphere	An atmosphere is a layer of gases surrounding a material body of sufficient mass that is held in place by the gravity of the body.
ENVO:01000281	layer	A layer is a quantity of some material which is spatially continuous, has comparable thickness, and usually covers some surface.
ENVO:01000549	mass of biological material	
ENVO:01000637	outer space	Outer space is a hard vacuum containing a low density of particles, predominantly a plasma of hydrogen and helium as well as electromagnetic radiation, magnetic fields, neutrinos, dust and cosmic rays that exists between celestial bodies.
ENVO:01000638	planetary crust	A planetary crust is the outermost solid shell of a rocky planet or natural satellite, which is chemically distinct from the underlying mantle.
ENVO:01000639	planetary structural layer	A planetary structural layer is laminar part of a terrestrial planet or other rocky body large enough to have differentiation by density. Planetary layers have differing physicochemical properties and composition.
